"","State","ABV","IBU"
"1"," AK",0.056,46
"2"," AL",0.06,43
"3"," AR",0.052,39
"4"," AZ",0.055,20.5
"5"," CA",0.058,42
"6"," CO",0.0605,40
"7"," CT",0.06,29
"8"," DC",0.0625,47.5
"9"," DE",0.055,52
"10"," FL",0.057,55
"11"," GA",0.055,55
"12"," HI",0.054,22.5
"13"," IA",0.0555,26
"14"," ID",0.0565,39
"15"," IL",0.058,30
"16"," IN",0.058,33
"17"," KS",0.05,20
"18"," KY",0.0625,31.5
"19"," LA",0.052,31.5
"20"," MA",0.054,35
"21"," MD",0.058,29
"22"," ME",0.051,61
"23"," MI",0.062,35
"24"," MN",0.056,44.5
"25"," MO",0.052,24
"26"," MS",0.058,45
"27"," MT",0.055,40
"28"," NC",0.057,33.5
"29"," ND",0.05,32
"30"," NE",0.056,35
"31"," NH",0.055,48.5
"32"," NJ",0.046,34.5
"33"," NM",0.062,51
"34"," NV",0.06,41
"35"," NY",0.055,47
"36"," OH",0.058,40
"37"," OK",0.06,35
"38"," OR",0.056,40
"39"," PA",0.057,30
"40"," RI",0.055,24
"41"," SC",0.055,30
"42"," SD",0.06,NA
"43"," TN",0.057,37
"44"," TX",0.055,33
"45"," UT",0.04,34
"46"," VA",0.0565,42
"47"," VT",0.055,30
"48"," WA",0.0555,38
"49"," WI",0.052,19
"50"," WV",0.062,57.5
"51"," WY",0.05,21
