"","ABV","IBU"
"15",0.061,60
"22",0.099,92
"23",0.079,45
"25",0.044,42
"26",0.049,17
"27",0.049,17
"28",0.049,17
"29",0.07,70
"30",0.07,70
"31",0.07,70
"32",0.085,52
"33",0.097,94
"34",0.044,42
"35",0.079,45
"36",0.068,65
"37",0.083,35
"38",0.07,65
"39",0.049,17
"40",0.07,82
"43",0.035,11
"44",0.045,18
"50",0.05,28
"52",0.05,45
"54",0.069,65
"55",0.09,50
"56",0.046,15
"57",0.052,18
"58",0.059,75
"59",0.054,30
"60",0.054,30
"61",0.084,82
"63",0.055,26
"64",0.055,26
"65",0.065,52
"66",0.042,13
"67",0.045,17
"68",0.082,68
"69",0.05,20
"70",0.08,68
"71",0.125,80
"72",0.077,25
"73",0.042,42
"74",0.05,25
"75",0.066,21
"76",0.04,13
"77",0.055,17
"78",0.076,68
"79",0.051,38
"81",0.06,65
"82",0.05,20
"83",0.053,35
"84",0.05,35
"85",0.052,33
"86",0.04,20
"87",0.053,36
"88",0.082,103
"89",0.053,40
"90",0.053,18
"96",0.062,43
"106",0.057,13
"107",0.056,4
"108",0.07,80
"109",0.058,15
"110",0.057,13
"111",0.055,25
"112",0.058,15
"113",0.056,4
"114",0.057,13
"115",0.069,6
"116",0.07,80
"117",0.058,15
"118",0.056,4
"119",0.055,28
"129",0.071,75
"130",0.047,19
"131",0.06,23
"132",0.06,55
"133",0.062,17
"135",0.092,50
"136",0.051,20
"137",0.052,10
"138",0.07,45
"139",0.032,27
"140",0.053,26
"141",0.06,69
"145",0.056,27
"146",0.07,67
"147",0.057,40
"148",0.082,138
"149",0.062,35
"150",0.06,35
"151",0.075,115
"152",0.055,12
"154",0.045,8
"155",0.05,62
"156",0.05,12
"164",0.047,42
"165",0.056,10
"166",0.063,69
"167",0.055,17
"168",0.062,17
"169",0.072,22
"170",0.048,23
"172",0.092,5
"173",0.061,41
"180",0.06,43
"181",0.068,70
"182",0.044,38
"184",0.038,40
"185",0.052,23
"186",0.07,75
"188",0.07,70
"190",0.045,20
"191",0.035,45
"192",0.07,46
"193",0.06,60
"195",0.049,22
"196",0.067,60
"197",0.068,62
"198",0.05,20
"199",0.051,45
"200",0.054,55
"201",0.067,70
"202",0.05,28
